draw_date,n1,n2,n3,n4,n5,prize_3,prize_4
9/14/2014,4,20,24,26,43,17,799
9/15/2014,4,10,12,20,43,14,523
9/16/2014,15,24,27,32,42,19,883
9/17/2014,7,8,20,29,30,13,417
9/18/2014,8,28,30,36,41,17,705
9/19/2014,5,8,16,28,29,12,337
9/20/2014,6,28,35,38,42,20,769
9/21/2014,7,15,32,35,36,17,594
9/22/2014,4,12,27,37,43,16,572
9/23/2014,2,6,9,17,19,10,243
9/24/2014,6,26,27,29,38,15,524
9/25/2014,6,8,19,34,39,15,566
9/26/2014,6,7,13,30,32,14,573
9/27/2014,2,25,28,37,41,20,576
9/28/2014,4,14,20,21,27,13,388
9/29/2014,9,21,26,28,31,14,422
9/30/2014,8,13,19,21,31,12,358
10/1/2014,1,6,12,23,26,12,270
10/2/2014,6,7,11,27,29,9,245
10/3/2014,12,27,28,38,40,16,551
10/4/2014,2,7,8,12,37,12,462
10/5/2014,1,6,19,21,30,12,418
10/6/2014,3,4,29,32,34,16,608
10/7/2014,1,2,20,32,40,16,534
10/8/2014,7,11,20,26,41,15,597
10/9/2014,9,18,19,20,40,14,614
10/10/2014,5,17,26,36,42,17,634
10/11/2014,3,10,16,36,41,18,713
10/12/2014,5,11,14,29,31,12,400
10/13/2014,3,4,37,39,42,21,625
10/14/2014,10,18,32,34,43,18,518
10/15/2014,8,10,13,22,27,11,263
10/16/2014,22,23,27,28,30,14,485
10/17/2014,20,29,32,34,43,19,737
10/18/2014,13,27,34,35,38,18,865
10/19/2014,1,2,23,32,36,18,557
10/20/2014,3,10,14,24,37,13,484
10/21/2014,3,4,6,12,36,12,368
10/22/2014,14,19,38,41,42,22,869
10/23/2014,4,9,14,16,41,15,542
10/24/2014,1,2,5,38,42,16,566
10/25/2014,8,26,28,31,36,15,517
10/26/2014,27,30,35,40,42,20,749
10/27/2014,2,3,12,21,32,13,419
10/28/2014,7,8,10,33,41,16,522
10/29/2014,4,11,21,30,43,14,603
10/30/2014,15,19,25,29,31,13,350
10/31/2014,5,12,25,27,34,12,376
11/1/2014,25,28,37,39,42,21,950
11/2/2014,6,7,23,28,42,16,621
11/3/2014,3,19,20,37,43,18,644
11/4/2014,1,2,5,23,31,12,439
11/5/2014,1,2,18,19,29,12,405
11/6/2014,19,23,24,31,40,16,586
11/7/2014,8,10,26,29,31,13,361
11/8/2014,1,19,22,27,28,12,395
11/9/2014,8,21,23,37,39,16,606
11/10/2014,11,19,20,26,41,16,682
11/11/2014,14,17,19,32,41,16,517
11/12/2014,7,17,20,23,25,12,394
11/13/2014,4,7,23,36,38,15,540
11/14/2014,4,9,13,25,36,14,477
11/15/2014,12,16,22,28,34,14,452
11/16/2014,1,5,11,15,40,12,362
11/17/2014,7,17,27,34,41,15,525
11/18/2014,11,12,18,19,26,12,367
11/19/2014,4,12,16,24,27,12,375
11/20/2014,2,15,26,32,43,18,550
11/21/2014,5,25,28,34,38,15,486
11/22/2014,13,18,21,24,36,14,462
11/23/2014,5,18,20,23,39,14,518
11/24/2014,3,14,22,29,33,13,355
11/25/2014,2,13,29,34,43,20,733
11/26/2014,6,17,19,25,42,15,531
11/27/2014,9,20,25,26,31,14,558
11/28/2014,3,26,37,39,41,18,671
11/29/2014,5,8,12,36,43,15,531
